"Jobs","Code","Occupation_Type","Employment_2016","Employment_2026","Employment_Change_Number","Employment_Change_Percent","Percent_Self_Employed_2016","Occupational_Openings","Median_Annual_2017","Entry_Education","Work_Experience","layer1","layer2","layer3"
"Legal support workers","23-2000","Summary",425.1,472.6,47.5,11.2,5.2,46.8,"50630","—","—","23","2","000"
"Paralegals and legal assistants","23-2011","Line item",285.6,327.4,41.8,14.6,1.9,34.7,"50410","Associate's degree","None","23","2","011"
"Court reporters","23-2091","Line item",19.6,20.3,0.7,3.4,7,1.7,"55120","Postsecondary nondegree award","None","23","2","091"
"Title examiners, abstractors, and searchers","23-2093","Line item",69,72,3,4.4,17,6,"46850","High school diploma or equivalent","None","23","2","093"
"Legal support workers, all other","23-2099","Line item",50.9,52.8,1.9,3.8,7.5,4.4,"56120","Associate's degree","None","23","2","099"
"Education, training, and library occupations","25-0000","Summary",9426.5,10315.4,888.9,9.4,1.9,918.5,"48740","—","—","25","0","000"
"Postsecondary teachers","25-1000","Summary",1871.4,2108.3,236.9,12.7,0.3,172.4,"67140","—","—","25","1","000"
"Business teachers, postsecondary","25-1011","Line item",104.2,123,18.9,18.1,0.3,10.4,"80300","Doctoral or professional degree","None","25","1","011"
"Computer science teachers, postsecondary","25-1021","Line item",39.7,42.9,3.2,8.1,0.3,3.4,"78630","Doctoral or professional degree","None","25","1","021"
"Mathematical science teachers, postsecondary","25-1022","Line item",60.9,66.6,5.6,9.2,0.2,5.3,"70910","Doctoral or professional degree","None","25","1","022"
"Architecture teachers, postsecondary","25-1031","Line item",9.5,10.5,1,10.6,NA,0.8,"80050","Doctoral or professional degree","None","25","1","031"
"Engineering teachers, postsecondary","25-1032","Line item",47.6,54.6,6.9,14.6,0.2,4.5,"98360","Doctoral or professional degree","None","25","1","032"
"Agricultural sciences teachers, postsecondary","25-1041","Line item",12.6,13.6,0.9,7.5,NA,1.1,"86140","Doctoral or professional degree","None","25","1","041"
"Biological science teachers, postsecondary","25-1042","Line item",62.3,71.7,9.4,15.2,0.3,6,"78240","Doctoral or professional degree","None","25","1","042"
"Forestry and conservation science teachers, postsecondary","25-1043","Line item",2.2,2.3,0.2,7.8,NA,0.2,"87420","Doctoral or professional degree","None","25","1","043"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary","25-1051","Line item",13.1,14.4,1.3,9.5,NA,1.2,"87380","Doctoral or professional degree","None","25","1","051"
"Chemistry teachers, postsecondary","25-1052","Line item",26.3,28.9,2.6,9.9,0.3,2.3,"77190","Doctoral or professional degree","None","25","1","052"
"Environmental science teachers, postsecondary","25-1053","Line item",6.9,7.6,0.7,9.6,NA,0.6,"76360","Doctoral or professional degree","None","25","1","053"
"Physics teachers, postsecondary","25-1054","Line item",17.6,19.4,1.8,10,NA,1.6,"87340","Doctoral or professional degree","None","25","1","054"
"Anthropology and archeology teachers, postsecondary","25-1061","Line item",7.1,7.8,0.7,10,NA,0.6,"81580","Doctoral or professional degree","None","25","1","061"
"Area, ethnic, and cultural studies teachers, postsecondary","25-1062","Line item",11.5,12.7,1.2,10.5,NA,1,"72230","Doctoral or professional degree","None","25","1","062"
"Economics teachers, postsecondary","25-1063","Line item",16.5,18.3,1.8,10.6,0.3,1.5,"98350","Doctoral or professional degree","None","25","1","063"
"Geography teachers, postsecondary","25-1064","Line item",5,5.4,0.4,8.4,NA,0.4,"78040","Doctoral or professional degree","None","25","1","064"
"Political science teachers, postsecondary","25-1065","Line item",21.2,23.4,2.2,10.6,0.3,1.9,"81430","Doctoral or professional degree","None","25","1","065"
"Psychology teachers, postsecondary","25-1066","Line item",46.9,54,7.1,15.1,0.3,4.5,"73770","Doctoral or professional degree","None","25","1","066"
"Sociology teachers, postsecondary","25-1067","Line item",17.9,19.6,1.8,9.8,NA,1.6,"73080","Doctoral or professional degree","None","25","1","067"
"Social sciences teachers, postsecondary, all other","25-1069","Line item",15.3,16.8,1.5,10,NA,1.3,"64480","Doctoral or professional degree","None","25","1","069"
"Health specialties teachers, postsecondary","25-1071","Line item",233.5,294,60.6,25.9,0.3,25.8,"97870","Doctoral or professional degree","Less than 5 years","25","1","071"
"Nursing instructors and teachers, postsecondary","25-1072","Line item",67.9,84.2,16.3,24,0.3,7.3,"71260","Doctoral or professional degree","Less than 5 years","25","1","072"
"Education teachers, postsecondary","25-1081","Line item",74.5,82.2,7.7,10.3,0.3,6.6,"64020","Doctoral or professional degree","Less than 5 years","25","1","081"
"Library science teachers, postsecondary","25-1082","Line item",6,6.5,0.5,9,NA,0.5,"70940","Doctoral or professional degree","None","25","1","082"
"Criminal justice and law enforcement teachers, postsecondary","25-1111","Line item",17.3,19.4,2.2,12.5,NA,1.6,"60400","Doctoral or professional degree","None","25","1","111"
"Law teachers, postsecondary","25-1112","Line item",21.2,23.8,2.6,12.3,0.5,1.9,"104910","Doctoral or professional degree","Less than 5 years","25","1","112"
"Social work teachers, postsecondary","25-1113","Line item",14.9,16.3,1.5,9.9,NA,1.3,"64370","Doctoral or professional degree","None","25","1","113"
"Art, drama, and music teachers, postsecondary","25-1121","Line item",122.5,137.2,14.7,12,0.4,11.2,"66930","Master's degree","None","25","1","121"
"Communications teachers, postsecondary","25-1122","Line item",34.1,37.5,3.4,10,0.3,3,"66510","Doctoral or professional degree","None","25","1","122"
"English language and literature teachers, postsecondary","25-1123","Line item",84.6,92.9,8.3,9.8,0.2,7.5,"64910","Doctoral or professional degree","None","25","1","123"
"Foreign language and literature teachers, postsecondary","25-1124","Line item",35,39.1,4.1,11.9,0.4,3.2,"65010","Doctoral or professional degree","None","25","1","124"
"History teachers, postsecondary","25-1125","Line item",26.9,29.7,2.8,10.3,0.3,2.4,"72690","Doctoral or professional degree","None","25","1","125"
"Philosophy and religion teachers, postsecondary","25-1126","Line item",31.8,35.7,3.9,12.3,0.5,2.9,"69590","Doctoral or professional degree","None","25","1","126"
"Graduate teaching assistants","25-1191","Line item",168.3,181.2,12.9,7.7,0.1,14.4,"32460","Bachelor's degree","None","25","1","191"
"Home economics teachers, postsecondary","25-1192","Line item",3.5,3.8,0.3,7.8,NA,0.3,"71630","Master's degree","None","25","1","192"
"Recreation and fitness studies teachers, postsecondary","25-1193","Line item",20.6,22.6,2,9.7,NA,1.8,"60150","Doctoral or professional degree","None","25","1","193"
"Vocational education teachers, postsecondary","25-1194","Line item",128,129.8,1.7,1.4,0.4,9.8,"51600","Bachelor's degree","Less than 5 years","25","1","194"
"Postsecondary teachers, all other","25-1199","Line item",236.5,258.7,22.2,9.4,0.2,20.7,"64480","Doctoral or professional degree","None","25","1","199"
"Preschool, primary, secondary, and special education school teachers","25-2000","Summary",4264.8,4598.7,333.8,7.8,0.1,358.7,"55790","—","—","25","2","000"
"Preschool teachers, except special education","25-2011","Line item",478.5,528.6,50.1,10.5,1,53.6,"28990","Associate's degree","None","25","2","011"
"Kindergarten teachers, except special education","25-2012","Line item",154.4,166.7,12.3,7.9,0.2,16.7,"54230","Bachelor's degree","None","25","2","012"
"Elementary school teachers, except special education","25-2021","Line item",1410.9,1514.9,104.1,7.4,NA,112.8,"57160","Bachelor's degree","None","25","2","021"
"Middle school teachers, except special and career/technical education","25-2022","Line item",630.3,677.7,47.3,7.5,NA,50.5,"57720","Bachelor's degree","None","25","2","022"
"Career/technical education teachers, middle school","25-2023","Line item",12.7,13.6,0.9,7.3,NA,1,"58630","Bachelor's degree","Less than 5 years","25","2","023"
"Secondary school teachers, except special and career/technical education","25-2031","Line item",1018.7,1095.5,76.8,7.5,NA,79.5,"59170","Bachelor's degree","None","25","2","031"
"Career/technical education teachers, secondary school","25-2032","Line item",78.7,83.7,5,6.4,NA,6,"58660","Bachelor's degree","Less than 5 years","25","2","032"
"Special education teachers, preschool","25-2051","Line item",29.2,32.5,3.3,11.2,NA,2.5,"53640","Bachelor's degree","None","25","2","051"
"Special education teachers, kindergarten and elementary school","25-2052","Line item",188.9,202.8,13.9,7.4,NA,15,"58600","Bachelor's degree","None","25","2","052"
"Special education teachers, middle school","25-2053","Line item",89.3,95.7,6.3,7.1,NA,7.1,"59510","Bachelor's degree","None","25","2","053"
"Special education teachers, secondary school","25-2054","Line item",131.9,141.6,9.7,7.4,NA,10.5,"60180","Bachelor's degree","None","25","2","054"
"Special education teachers, all other","25-2059","Line item",41.3,45.4,4.1,9.8,NA,3.4,"54800","Bachelor's degree","None","25","2","059"
"Other teachers and instructors","25-3000","Summary",1416.2,1568.2,152,10.7,11,176,"32460","—","—","25","3","000"
"Adult basic and secondary education and literacy teachers and instructors","25-3011","Line item",68.2,64.7,-3.4,-5.1,7.8,6.8,"52100","Bachelor's degree","None","25","3","011"
"Self-enrichment education teachers","25-3021","Line item",354.2,411.6,57.4,16.2,19.8,47,"38440","High school diploma or equivalent","Less than 5 years","25","3","021"
"Teachers and instructors, all other","25-3099","Line item",993.9,1091.8,98,9.9,8.1,122.2,"30310","Bachelor's degree","None","25","3","099"
"Librarians, curators, and archivists","25-4000","Summary",268.4,293.9,25.6,9.5,0.2,32.6,"47380","—","—","25","4","000"
"Archivists","25-4011","Line item",6.8,7.8,1,14.3,1.3,0.8,"51760","Master's degree","None","25","4","011"
"Curators","25-4012","Line item",12.4,14.1,1.7,14,1.6,1.5,"53770","Master's degree","None","25","4","012"
"Museum technicians and conservators","25-4013","Line item",11.8,13.3,1.5,12.4,1.4,1.4,"40670","Bachelor's degree","None","25","4","013"
"Librarians","25-4021","Line item",138.2,150.6,12.4,8.9,NA,14.5,"58520","Master's degree","None","25","4","021"
"Library technicians","25-4031","Line item",99.2,108.2,9,9.1,NA,14.4,"33690","Postsecondary nondegree award","None","25","4","031"
"Other education, training, and library occupations","25-9000","Summary",1605.7,1746.4,140.7,8.8,0.6,178.8,"28320","—","—","25","9","000"
"Audio-visual and multimedia collections specialists","25-9011","Line item",11.3,12.3,1,8.9,2.2,1.1,"48590","Bachelor's degree","Less than 5 years","25","9","011"
"Farm and home management advisors","25-9021","Line item",10.4,11.2,0.8,7.5,1.4,1,"49510","Master's degree","None","25","9","021"
"Instructional coordinators","25-9031","Line item",163.2,180.4,17.2,10.5,3.5,16.9,"63750","Master's degree","5 years or more","25","9","031"
"Teacher assistants","25-9041","Line item",1308.1,1417.6,109.5,8.4,0.1,147.9,"26260","Some college, no degree","None","25","9","041"
"Education, training, and library workers, all other","25-9099","Line item",112.7,124.9,12.2,10.8,2.8,11.7,"43140","Bachelor's degree","None","25","9","099"
"Arts, design, entertainment, sports, and media occupations","27-0000","Summary",2772.9,2941,168.1,6.1,25.2,288.9,"48230","—","—","27","0","000"
"Art and design workers","27-1000","Summary",833.7,867.4,33.7,4,29.1,78.2,"45250","—","—","27","1","000"
"Art directors","27-1011","Line item",90.3,95.2,4.9,5.4,59.4,7.7,"92500","Bachelor's degree","5 years or more","27","1","011"
"Craft artists","27-1012","Line item",12.5,13.1,0.5,4.3,59.9,1.1,"34940","No formal educational credential","None","27","1","012"
"Fine artists, including painters, sculptors, and illustrators","27-1013","Line item",28,29.9,1.9,6.6,58.6,2.4,"49520","Bachelor's degree","None","27","1","013"
"Multimedia artists and animators","27-1014","Line item",73.7,79.9,6.2,8.4,59,6.6,"70530","Bachelor's degree","None","27","1","014"
"Artists and related workers, all other","27-1019","Line item",12.8,13.5,0.7,5.5,42.8,1.1,"63540","No formal educational credential","None","27","1","019"
"Commercial and industrial designers","27-1021","Line item",39.7,41.4,1.8,4.4,19.2,3.9,"65970","Bachelor's degree","None","27","1","021"
"Fashion designers","27-1022","Line item",23.8,24.4,0.6,2.6,19.2,2.3,"67420","Bachelor's degree","None","27","1","022"
"Floral designers","27-1023","Line item",55,51.4,-3.5,-6.4,19.1,4.5,"26350","High school diploma or equivalent","None","27","1","023"
"Graphic designers","27-1024","Line item",266.3,277.4,11.1,4.2,18.2,26,"48700","Bachelor's degree","None","27","1","024"
"Interior designers","27-1025","Line item",66.5,69.5,2.9,4.4,18.9,6.5,"51500","Bachelor's degree","None","27","1","025"
"Merchandise displayers and window trimmers","27-1026","Line item",141.4,146,4.6,3.2,19.4,13.6,"27680","High school diploma or equivalent","None","27","1","026"
"Set and exhibit designers","27-1027","Line item",14.6,16.1,1.5,10.3,18.2,1.6,"53090","Bachelor's degree","None","27","1","027"
"Designers, all other","27-1029","Line item",9,9.5,0.5,5.8,18.8,0.9,"55930","Bachelor's degree","None","27","1","029"
"Entertainers and performers, sports and related workers","27-2000","Summary",801.9,881.6,79.6,9.9,21,99.8,"42010","—","—","27","2","000"
"Actors","27-2011","Line item",63.8,71.2,7.4,11.6,25.8,7.4,"—","Some college, no degree","None","27","2","011"
"Producers and directors","27-2012","Line item",134.7,151.2,16.5,12.2,16,14.1,"71620","Bachelor's degree","Less than 5 years","27","2","012"
"Athletes and sports competitors","27-2021","Line item",11.8,12.7,0.9,7.5,14.8,1.7,"51370","No formal educational credential","None","27","2","021"
"Coaches and scouts","27-2022","Line item",276.1,311.7,35.7,12.9,10,42.1,"32270","Bachelor's degree","None","27","2","022"
"Umpires, referees, and other sports officials","27-2023","Line item",21.1,22.7,1.6,7.6,8.8,3,"26800","High school diploma or equivalent","None","27","2","023"
"Dancers","27-2031","Line item",13.5,14.1,0.6,4.6,26.8,1.9,"—","No formal educational credential","None","27","2","031"
"Choreographers","27-2032","Line item",6.9,7.1,0.2,2.8,26.4,0.9,"48420","High school diploma or equivalent","5 years or more","27","2","032"
"Music directors and composers","27-2041","Line item",74.8,79.1,4.3,5.7,25.8,7.7,"50590","Bachelor's degree","Less than 5 years","27","2","041"
"Musicians and singers","27-2042","Line item",172.4,182.8,10.4,6,35.3,17.8,"—","No formal educational credential","None","27","2","042"
"Entertainers and performers, sports and related workers, all other","27-2099","Line item",26.7,28.9,2.2,8.1,50.2,3.2,"—","No formal educational credential","None","27","2","099"
"Media and communication workers","27-3000","Summary",774.8,818,43.2,5.6,21,78.2,"56340","—","—","27","3","000"
"Radio and television announcers","27-3011","Line item",41.3,36.5,-4.8,-11.6,29.8,3.2,"32450","Bachelor's degree","None","27","3","011"
"Public address system and other announcers","27-3012","Line item",11.4,11.7,0.3,2.5,29.8,1.1,"28440","High school diploma or equivalent","None","27","3","012"
"Broadcast news analysts","27-3021","Line item",5.7,5.6,0,-0.4,11.1,0.5,"62910","Bachelor's degree","None","27","3","021"
"Reporters and correspondents","27-3022","Line item",44.7,40.2,-4.5,-10,11.3,3.7,"39370","Bachelor's degree","None","27","3","022"
"Public relations specialists","27-3031","Line item",259.6,282.6,22.9,8.8,2.5,28.2,"59300","Bachelor's degree","None","27","3","031"
"Editors","27-3041","Line item",127.4,125.6,-1.8,-1.4,20,12,"58770","Bachelor's degree","Less than 5 years","27","3","041"
"Technical writers","27-3042","Line item",52.4,58.1,5.7,11,3.1,5.7,"70930","Bachelor's degree","Less than 5 years","27","3","042"
"Writers and authors","27-3043","Line item",131.2,141.2,10,7.6,63.9,12.6,"61820","Bachelor's degree","None","27","3","043"
"Interpreters and translators","27-3091","Line item",68.2,80.3,12.1,17.7,21.6,7.8,"47190","Bachelor's degree","None","27","3","091"
"Media and communication workers, all other","27-3099","Line item",32.9,36.2,3.3,9.9,27.6,3.4,"47900","High school diploma or equivalent","None","27","3","099"
"Media and communication equipment workers","27-4000","Summary",362.5,374.1,11.6,3.2,34.4,32.7,"45570","—","—","27","4","000"
"Audio and video equipment technicians","27-4011","Line item",83.3,94,10.7,12.9,9.4,9,"42190","Postsecondary nondegree award","None","27","4","011"
"Broadcast technicians","27-4012","Line item",34,32.9,-1.1,-3.2,10.2,2.9,"39060","Associate's degree","None","27","4","012"
"Radio operators","27-4013","Line item",0.9,0.9,0,-1,NA,0.1,"44330","High school diploma or equivalent","None","27","4","013"
"Sound engineering technicians","27-4014","Line item",17,18.1,1.1,6.3,10.8,1.7,"55810","Postsecondary nondegree award","None","27","4","014"
"Photographers","27-4021","Line item",147.3,139,-8.3,-5.6,68.2,10.3,"32490","High school diploma or equivalent","None","27","4","021"
"Camera operators, television, video, and motion picture","27-4031","Line item",25.1,26.9,1.8,7,15.3,2.6,"53550","Bachelor's degree","None","27","4","031"
"Film and video editors","27-4032","Line item",34.2,40,5.8,17,16.3,4,"61180","Bachelor's degree","None","27","4","032"
"Media and communication equipment workers, all other","27-4099","Line item",20.6,22.2,1.6,7.9,7.8,2.1,"79500","High school diploma or equivalent","None","27","4","099"
"Healthcare practitioners and technical occupations","29-0000","Summary",8751.5,10088.1,1336.6,15.3,2.7,625.1,"64770","—","—","29","0","000"
"Health diagnosing and treating practitioners","29-1000","Summary",5485.4,6380,894.6,16.3,3.8,355.8,"79480","—","—","29","1","000"
"Chiropractors","29-1011","Line item",47.4,53.3,5.9,12.5,30.1,1.8,"68640","Doctoral or professional degree","None","29","1","011"
"Dentists, general","29-1021","Line item",132.8,158.5,25.7,19.4,19.6,6.4,"151440","Doctoral or professional degree","None","29","1","021"
"Oral and maxillofacial surgeons","29-1022","Line item",6.8,8.1,1.3,19.1,19.8,0.3,">=$208,000","Doctoral or professional degree","None","29","1","022"
"Orthodontists","29-1023","Line item",6.6,7.8,1.3,19.3,19.9,0.3,">=$208,000","Doctoral or professional degree","None","29","1","023"
"Prosthodontists","29-1024","Line item",0.9,1.1,0.2,19.1,19.9,0,"185150","Doctoral or professional degree","None","29","1","024"
"Dentists, all other specialists","29-1029","Line item",6.4,7.3,0.9,13.3,12.6,0.3,"190840","Doctoral or professional degree","None","29","1","029"
"Dietitians and nutritionists","29-1031","Line item",68,77.9,9.9,14.6,6.4,5.4,"59410","Bachelor's degree","None","29","1","031"
"Optometrists","29-1041","Line item",40.2,47.4,7.2,17.9,8.5,2,"110300","Doctoral or professional degree","None","29","1","041"
"Pharmacists","29-1051","Line item",312.5,329.9,17.4,5.6,1,15.3,"124170","Doctoral or professional degree","None","29","1","051"
"Anesthesiologists","29-1061","Line item",33,38.1,5.1,15.4,7.7,1.4,">=$208,000","Doctoral or professional degree","None","29","1","061"
"Family and general practitioners","29-1062","Line item",134.8,154.1,19.2,14.3,7,5.6,"198740","Doctoral or professional degree","None","29","1","062"
"Internists, general","29-1063","Line item",49.8,57,7.3,14.6,7.4,2.1,"192930","Doctoral or professional degree","None","29","1","063"
"Obstetricians and gynecologists","29-1064","Line item",21.7,25,3.4,15.5,7.6,0.9,">=$208,000","Doctoral or professional degree","None","29","1","064"
"Pediatricians, general","29-1065","Line item",29.6,34.1,4.6,15.4,7.5,1.3,"172650","Doctoral or professional degree","None","29","1","065"
"Psychiatrists","29-1066","Line item",27.5,30.6,3.1,11.2,6.1,1.1,">=$208,000","Doctoral or professional degree","None","29","1","066"
"Surgeons","29-1067","Line item",45,51.5,6.5,14.4,7.6,1.9,">=$208,000","Doctoral or professional degree","None","29","1","067"
"Physicians and surgeons, all other","29-1069","Line item",372.4,414.7,42.3,11.4,6.2,14.3,">=$208,000","Doctoral or professional degree","None","29","1","069"
"Physician assistants","29-1071","Line item",106.2,145.9,39.6,37.3,0.1,10.6,"104860","Master's degree","None","29","1","071"
"Podiatrists","29-1081","Line item",11,12.2,1.1,10.3,7.4,0.7,"127740","Doctoral or professional degree","None","29","1","081"
"Occupational therapists","29-1122","Line item",130.4,161.4,31,23.8,6.5,10.2,"83200","Master's degree","None","29","1","122"
"Physical therapists","29-1123","Line item",239.8,306.9,67.1,28,7.1,17.7,"86850","Doctoral or professional degree","None","29","1","123"
"Radiation therapists","29-1124","Line item",19.1,21.5,2.4,12.8,6.3,1.2,"80570","Associate's degree","None","29","1","124"
"Recreational therapists","29-1125","Line item",19.2,20.5,1.3,6.5,0.5,1.2,"47680","Bachelor's degree","None","29","1","125"
"Respiratory therapists","29-1126","Line item",130.2,160.6,30.5,23.4,0.3,9.8,"59710","Associate's degree","None","29","1","126"
"Speech-language pathologists","29-1127","Line item",145.1,171,25.9,17.8,4.8,10.4,"76610","Master's degree","None","29","1","127"
"Exercise physiologists","29-1128","Line item",15.1,17.1,2,13.1,52.8,1.1,"49090","Bachelor's degree","None","29","1","128"
"Therapists, all other","29-1129","Line item",24.1,28.9,4.8,19.9,51,1.9,"53850","Bachelor's degree","None","29","1","129"
"Veterinarians","29-1131","Line item",79.6,94.6,15,18.8,13.2,4.5,"90420","Doctoral or professional degree","None","29","1","131"
"Registered nurses","29-1141","Line item",2955.2,3393.2,438.1,14.8,0.5,203.7,"70000","Bachelor's degree","None","29","1","141"
"Nurse anesthetists","29-1151","Line item",41.8,48.6,6.8,16.2,2.8,2.8,"165120","Master's degree","None","29","1","151"
"Nurse midwives","29-1161","Line item",6.5,7.8,1.3,20.7,1,0.5,"100590","Master's degree","None","29","1","161"
"Nurse practitioners","29-1171","Line item",155.5,211.6,56.1,36.1,1,14.4,"103880","Master's degree","None","29","1","171"
"Audiologists","29-1181","Line item",14.8,17.8,3.1,20.7,15,1,"75920","Doctoral or professional degree","None","29","1","181"
"Health diagnosing and treating practitioners, all other","29-1199","Line item",56.4,63.9,7.5,13.3,31,3.8,"73830","Master's degree","None","29","1","199"
"Health technologists and technicians","29-2000","Summary",3093.5,3514.6,421.1,13.6,0.5,258.1,"43590","—","—","29","2","000"
"Medical and clinical laboratory technologists","29-2011","Line item",171.4,191.2,19.8,11.5,0.1,12.9,"—","Bachelor's degree","None","29","2","011"
"Medical and clinical laboratory technicians","29-2012","Line item",164.2,187.2,22.9,14,0.1,12.9,"—","Associate's degree","None","29","2","012"
"Dental hygienists","29-2021","Line item",207.9,248.9,40.9,19.7,0.4,17.5,"74070","Associate's degree","None","29","2","021"
"Cardiovascular technologists and technicians","29-2031","Line item",55,60.5,5.5,9.9,0.6,3.5,"55270","Associate's degree","None","29","2","031"
"Diagnostic medical sonographers","29-2032","Line item",67.3,82.9,15.6,23.2,0.6,5.4,"71410","Associate's degree","None","29","2","032"
"Nuclear medicine technologists","29-2033","Line item",20.1,22.1,2,9.8,0.6,1.3,"75660","Associate's degree","None","29","2","033"
"Radiologic technologists","29-2034","Line item",205.2,230.5,25.3,12.3,0.6,13.6,"58440","Associate's degree","None","29","2","034"
"Magnetic resonance imaging technologists","29-2035","Line item",36.6,41.5,5,13.7,0.6,2.5,"69930","Associate's degree","Less than 5 years","29","2","035"
"Emergency medical technicians and paramedics","29-2041","Line item",248,285.4,37.4,15.1,0.1,19.4,"33380","Postsecondary nondegree award","None","29","2","041"
"Dietetic technicians","29-2051","Line item",33.4,36.5,3.1,9.3,NA,3,"26500","Associate's degree","None","29","2","051"
"Pharmacy technicians","29-2052","Line item",402.5,450.1,47.6,11.8,0.2,37.5,"31750","High school diploma or equivalent","None","29","2","052"
"Psychiatric technicians","29-2053","Line item",66.1,70,3.9,5.9,0.1,5.6,"31670","Postsecondary nondegree award","Less than 5 years","29","2","053"
"Respiratory therapy technicians","29-2054","Line item",10.8,4.7,-6.1,-56.3,NA,0,"50350","Associate's degree","None","29","2","054"
"Surgical technologists","29-2055","Line item",107.7,120.3,12.6,11.7,0.2,10,"46310","Postsecondary nondegree award","None","29","2","055"
"Veterinary technologists and technicians","29-2056","Line item",102,122.4,20.4,20,0.2,10.7,"33400","Associate's degree","None","29","2","056"
"Ophthalmic medical technicians","29-2057","Line item",44.5,53.2,8.7,19.5,0.2,4.6,"35910","Postsecondary nondegree award","None","29","2","057"
"Licensed practical and licensed vocational nurses","29-2061","Line item",724.5,813.4,88.9,12.3,0.5,62.7,"45030","Postsecondary nondegree award","None","29","2","061"
"Medical records and health information technicians","29-2071","Line item",206.3,234.1,27.8,13.5,0.7,15.8,"39180","Postsecondary nondegree award","None","29","2","071"
"Opticians, dispensing","29-2081","Line item",77.6,89.3,11.6,15,3.5,7,"36250","High school diploma or equivalent","None","29","2","081"
"Orthotists and prosthetists","29-2091","Line item",7.8,9.5,1.7,22.2,2,0.7,"66240","Master's degree","None","29","2","091"
"Hearing aid specialists","29-2092","Line item",6.8,8.2,1.3,19.5,2.3,0.6,"54860","High school diploma or equivalent","None","29","2","092"
"Health technologists and technicians, all other","29-2099","Line item",127.8,152.9,25.1,19.7,2,11,"41800","Postsecondary nondegree award","None","29","2","099"
"Other healthcare practitioners and technical occupations","29-9000","Summary",172.6,193.5,20.9,12.1,6,11.2,"60710","—","—","29","9","000"
"Occupational health and safety specialists","29-9011","Line item",83.7,90.5,6.8,8.1,5.8,5,"71780","Bachelor's degree","None","29","9","011"
"Occupational health and safety technicians","29-9012","Line item",18.1,19.9,1.8,10.1,6.5,1.1,"49960","High school diploma or equivalent","None","29","9","012"
"Athletic trainers","29-9091","Line item",27.8,34.1,6.3,22.8,6.2,2.2,"46630","Bachelor's degree","None","29","9","091"
"Genetic counselors","29-9092","Line item",3.1,4,0.9,29,7.6,0.3,"77480","Master's degree","None","29","9","092"
"Healthcare practitioners and technical workers, all other","29-9099","Line item",40,45,5,12.6,6,2.6,"51530","Postsecondary nondegree award","None","29","9","099"
"Healthcare support occupations","31-0000","Summary",4315.6,5335.2,1019.6,23.6,2.8,638.4,"28710","—","—","31","0","000"
"Nursing, psychiatric, and home health aides","31-1000","Summary",2549.4,3162.4,613,24,1.9,379.1,"25610","—","—","31","1","000"
"Home health aides","31-1011","Line item",911.5,1342.7,431.2,47.3,2,168.6,"23210","High school diploma or equivalent","None","31","1","011"
"Psychiatric aides","31-1013","Line item",73.6,77.7,4.1,5.5,1,8.8,"27110","High school diploma or equivalent","None","31","1","013"
"Nursing assistants","31-1014","Line item",1510.3,1683.7,173.4,11.5,2,195.1,"27520","Postsecondary nondegree award","None","31","1","014"
"Orderlies","31-1015","Line item",54,58.4,4.4,8.1,NA,6.7,"27180","High school diploma or equivalent","None","31","1","015"
"Occupational therapy and physical therapist assistants and aides","31-2000","Summary",187.1,243,55.9,29.9,0.5,31.1,"50510","—","—","31","2","000"
"Occupational therapy assistants","31-2011","Line item",39.3,50.7,11.4,28.9,NA,6.6,"59310","Associate's degree","None","31","2","011"
"Occupational therapy aides","31-2012","Line item",7.5,9.3,1.8,24.7,NA,1.2,"29200","High school diploma or equivalent","None","31","2","012"
"Physical therapist assistants","31-2021","Line item",88.3,115.8,27.4,31,0.6,14.7,"57430","Associate's degree","None","31","2","021"
"Physical therapist aides","31-2022","Line item",52,67.2,15.3,29.4,0.6,8.5,"25730","High school diploma or equivalent","None","31","2","022"
"Other healthcare support occupations","31-9000","Summary",1579.1,1929.8,350.7,22.2,4.5,228.2,"33920","—","—","31","9","000"
"Massage therapists","31-9011","Line item",160.3,202.4,42.1,26.3,39.4,22.6,"39990","Postsecondary nondegree award","None","31","9","011"
"Dental assistants","31-9091","Line item",332,396.6,64.6,19.5,0.1,45.9,"37630","Postsecondary nondegree award","None","31","9","091"
"Medical assistants","31-9092","Line item",634.4,818.4,183.9,29,0.4,94.9,"32480","Postsecondary nondegree award","None","31","9","092"
"Medical equipment preparers","31-9093","Line item",54.2,60.2,6,11.1,1.2,7.6,"35370","High school diploma or equivalent","None","31","9","093"
"Medical transcriptionists","31-9094","Line item",57.4,55.5,-1.9,-3.4,4.7,6.4,"35250","Postsecondary nondegree award","None","31","9","094"
"Pharmacy aides","31-9095","Line item",36.9,35.2,-1.8,-4.8,NA,4.7,"26120","High school diploma or equivalent","None","31","9","095"
"Veterinary assistants and laboratory animal caretakers","31-9096","Line item",83.8,100,16.3,19.4,NA,15.5,"26140","High school diploma or equivalent","None","31","9","096"
"Phlebotomists","31-9097","Line item",122.7,152.8,30.1,24.5,0.7,16.9,"33670","Postsecondary nondegree award","None","31","9","097"
"Healthcare support workers, all other","31-9099","Line item",97.3,108.7,11.4,11.7,0.9,13.7,"37220","High school diploma or equivalent","None","31","9","099"
"Protective service occupations","33-0000","Summary",3505.6,3663.8,158.2,4.5,0.5,397.2,"39550","—","—","33","0","000"
"Supervisors of protective service workers","33-1000","Summary",284.2,295.3,11.1,3.9,0.4,21.6,"69440","—","—","33","1","000"
